miúdo, miúda	<img src="eren_mikasa_armin__kids.jpg">	miúdo, miúda	miúdo, miúda	/mi.ˈu.du/, /mi.ˈu.dɐ/	/ miˈudu | miˈudɐ /	adjm , adjf			small	/ˈsmɔl/	/ˈsmɔːl/	adj			pequeño, pequeña (niño, niña)	/solˈteɾa/, /solˈteɾo/		adjm, adjf				gosse						kind						xiquet, xiqueta						bambino, bambina											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
esperto, esperta	<img src="Carly_Strattman.JPG">	esperto, esperta	esperto, esperta	/ɨʃ.ˈpɛɾ.tu/, /ɨʃ.ˈpɛɾ.tɐ/	/ isˈpɛʁtu | isˈpɛʁtɐ /	adjm , adjf			smart	/ˈsmɑrt/	/ˈsmɑːt/	adj			listo, lista (con "e")							malin, maligne						schlau						llest, llesta						furbo, furba											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo liso	<img src="Mikasa_Face.JPG">	cabelo liso	cabelo liso	/kɐ.ˈbe.ɫu ˈɫi.zu/	/ kaˈbɛlu ˈlizu /	sm + adjm			straight hair	/ˈstɹeɪt ˈhɛr/	/ˈstreɪt ˈheə/	adj			pelo lacio							lisses (cheveux)						glatt (Haare)						llis, llisa (cabell)						dritti, diritta (capelli)											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
sociável	<img src="Carly_Strattman_Wall_Sina_GB.JPG">	sociável	sociável	/su.si'a.vɛl/	/ sosiˈavɛw /	adj m/f			sociable	/ˈsoʊʃəbəl/	/ˈsəʊʃəbᵊl/	adj			sociable	/'liso/, /'lisa/		adjm, adjf				sociable						gesellig						sociable						socievole											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
teimoso, teimosa	<img src="attack-on-titan-eren-yeager-peace-sign.jpg">	teimoso, teimosa	teimoso, teimosa	/tei.'mo.zu/, /tei.'mo.zɐ/	/ tejˈmɔzu | tejˈmɔzɐ /	adjm , adjf			stubborn	/ˈstəbə˞n/	/ˈstʌbən/	adj			terco, terca	/so.sja'βle/		adj m/f.				têtu, têtue						stur						caparrut, caparruda						testardo, testarda											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
falador, faladora	<img src="Armin vs Eren.jpg">	falador, faladora	falador, faladora	/fɐ.lɐ'doɾ/, /fɐ.lɐ'doɾɐ/	/ falaˈdoʁ | falaˈdɔɾɐ /	adjm , adjf			talkative	/ˈtɔkətɪv/	/ˈtɔːkətɪv/	adj			hablador,a	/aβla'ðoɾ/, /aβla'ðoɾa/		adjm, adjf				élégant						elegant						elegant						elegante											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
alto, alta	<img src="Bertholdt_Levi.jpg">	alto, alta	alto, alta	/'aɫtu/, /'aɫtɐ/	/ ˈawtu | ˈawtɐ /	adjm , adjf			tall	/ˈtɔl/	/ˈtɔːl/	adj			alto, alta	/ˈalta/,/ˈalto/		adjf				grand, grande						groß						alt, alta						alto, alta											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
elegante (corpo)	<img src="Eren_Grown_Up.jpg">	elegante	elegante	/ɨɫɨ'ɡɐt(ɨ)/	/ ileˈɡɐ̃tʃi /	adj m/f			thin	/ˈθɪn/	/ˈθɪn/	adj			delgado, delgada							maigre						dünn						primat, primada						magro, magra											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
magro, magra	<img src="Levi_Child.JPG">	magro, magra	magro, magra	/'maɡɾu/, /'maɡɾɐ/	/ ˈmaɡɾu | ˈmaɡɾɐ /	adjm , adjf	Muy relacionado con estar enfermo, así que utilizarla para describir a una persona puede resultar ofensivo.&nbsp;<br>Cuando se quiere hacer un cumplido usar <i>"elegante".<i></i></i>		skinny	/ˈskɪni/	/ˈskɪni/	adj			flaco, flaca			adjm, adjf				ordonné, ordonnée						ordentlich						endreçat, endreçada						ordinato, ordinata											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
arrumado, arrumada	<img src="levi_calcetines.JPG">	arrumado, arrumada	arrumado, arrumada	/ɐ.ʁuˈma.du/, /ɐ.ʁuˈma.dɐ/	/ aʁuˈmadu | aʁuˈmadɐ /	adjm , adjf			tidy	/ˈtaɪdi/	/ˈtaɪdi/	adj			ordenado, ordenada							fatigué, fatiguée						müde						cansat, cansada						stanco, stanca											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
