o café da manhã	café da manhã (BR)	o café da manhã	/u kɐ.ˈfɛ dɐ mɐ.ˈɲɐ̃/	/ˈka.fe dɐ maˈɲɐ̃/	sm		breakfast	/ˈbrɛkfəst/	/ˈbrɛkfəst/	n			desayuno	/desaˈʝuno/		sust. masc.				petit-déjeuner		pəti deʒœne			Frühstück	das Frühstück				esmorzar					colazione											Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
o almoço	almoço	o almoço	/u aɫ.ˈmo.su/	/aˈlmu.su/	sm		lunch	/lʌnʧ/	/lʌntʃ/	n			almuerzo							déjeuner					Mittagessen					dinar					pranzo											Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
o jantar	jantar	o jantar	/u ʒɐ̃.ˈtaɾ/	/ʒɐ̃ˈtaʁ/	sm		dinner	/ˈdɪnər/	/ˈdɪnə/	n			cena							dîner					Abendessen					sopar					cena											Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
a refeição	refeição	a refeição	/ɐ ʁɨ.fɐj.ˈsɐ̃w/	/ʁi.fɐj.ˈsɐ̃w̃/	sf		meal	/mil/	/miːl/	n			comida							repas					Mahlzeit					àpat					pasto											Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
o pequeno-almoço (PT)	pequeno-almoço (PT)	o pequeno-almoço	/u pɨ.ˈke.nu-aɫ.ˈmo.su/	/pi.ˌke.nu aɫ.ˈmu.su/	sm		breakfast	/ˈbrɛkfəst/	/ˈbrɛkfəst/	n			desayuno							petit-déjeuner					Frühstück					esmorzar					colazione											Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
o mata-bicho (ANG)	mata-bicho (ANG	o mata-bicho	/u ˈma.tɐ-ˈbi.ʃu/	/ˌma.ta ˈbi.ʃu/	sm		breakfast	/ˈbrɛkfəst/	/ˈbrɛkfəst/	n			desayuno							petit-déjeuner					Frühstück					esmorzar					colazione											Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
as refeições	refeições	as refeições	/ɐʒ ʁɨ.fɐj.ˈsõjʃ/		sfp		meals																																							Português::Curso::A1 Português::Vocabulario::Alimentos::Refeições
o peixe	peixe	o peixe	/u ˈpɐj.ʃɨ/	/ˈpej.ʃi/	sm	In Portuguese, the word &quot;peixe&quot; can be used for both the living animal (fish) and the prepared food (fish as a meal).	fish	/fɪʃ/	/fɪʃ/	n			pescado	/pes/		sust. masc.				poisson		[pwasɔ͂]	nm	nous pouvons bien survivre sans manger du poisson	Fisch					peix (aliment)					pesce (cibo)											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o salmão	salmão	o salmão	/u saɫ.ˈmɐ̃w/	/saw̃.ˈlɐ̃w̃/	sm		salmon	/ˈsæmən/	/ˈsæmən/	n		sam-un&lt;br&gt;A type of fish we eat.	salmón							saumon					Lachs					salmó					salmone											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o bacalhau	bacalhau	o bacalhau	/u bɐ.kɐ.ˈʎaw/	/ba.ka.ˈʎaw̃/	sm		codfish	/ˈkɒdˌfɪʃ/	/ˈkɒdˌfɪʃ/	n			bacalao							morue					Kabeljau					bacallà					baccalà											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o polvo	polvo	o polvo	/u ˈpɔɫ.vu/	/ˈpoɫ.vu/	sm		octopus						pulpo							poulpe					Oktopus					polp					polpo											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos Português::Vocabulario::Falso_Amigo
as sardinhas	sardinha	as sardinhas	/ɐʃ saɾ.ˈdi.ɲɐʃ/	/saɾ.ˈdi.ɲɐ/	sf		sardine						sardina							sardine					Sardine					sardina					sardina											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a truta	truta	a truta	/ɐ ˈtɾu.tɐ/	/ˈtɾu.tɐ/	sf		trout						trucha							truite					Forelle					truita					trota											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a amêijoa	amêijoa	a amêijoa	/ɐ ɐ.ˈmɐj.ʒu.ɐ/	/a.ˈme.ʒw̃ɐ/	sf		clam						almeja							palourde					Muschel					ametla					vongola											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a anchova	anchova	a anchova	/ɐ ɐ̃.ˈʃo.vɐ/	/ã.ˈʃɔ.va/, /ẽ.ˈʃɔ.va/	sf	Ou  &quot;a enchova&quot;	anchovy						anchoa, boquerón							anchois					Sardelle					anxova					acciuga											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o arenque	arenque	o arenque	/u ɐ.ˈɾẽ.kɨ/	/a.ˈɾẽ.ki/	sm		herring						arenque							hareng					Hering					arenca					aringa											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o atum	atum	o atum	/u ɐ.ˈtũ/	/a.ˈtũ/	sm		tuna						atún							thon					Thunfisch					tonyina					tonno											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o lavagante	lavagante	o lavagante	/u ɫɐ.vɐ.ˈgɐ̃.tɨ/	/la.va.ˈɡɐ̃.ti/	sm		lobster						bogavante							homard					Languste					langosta					aragosta											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a cavala	cavala	a cavala	/ɐ kɐ.ˈva.ɫɐ/	/ka.ˈva.lɐ/	sf		mackerel						caballa							maquereau					Makrele					caballa					sgombro											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a lula	lula	a lula	/ɐ ˈɫu.ɫɐ/	/ˈlu.lɐ/	sf		squid						calamar							calmar					Tintenfisch					llúdriga					calamaro											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o caranguejo	caranguejo	o caranguejo	/u kɐ.ɾɐ̃.ˈgɐj.ʒu/	/ka.ɾɐ̃.ˈɡe.ʒu/	sm		crab						cangrejo							crabe					Krabbe					cranc					granchio											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
os camarões	camarões	os camarões	/uʃ kɐ.mɐ.ˈɾõjʃ/	/ka.ma.ˈɾõj̃ʃ/, /ˈɡɐ̃.bas/	smp sfp		shrimp						gambas							crevette					Garnelen					cambró					gambero											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o carapau	carapau	o carapau	/u kɐ.ɾɐ.ˈpaw/	/ka.ɾa.ˈpaw/	sm		horse mackerel						jurel							chinchard					Makrele					macarel					maccarello											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a lagosta	lagosta	a lagosta	/ɐ ɫɐ.ˈgoʃ.tɐ/	/la.ˈɡɔʃ.tɐ/	sf		lobster						langosta							langouste					Languste					llagosta					aragosta											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o mexilhão	mexilhão	o mexilhão	/u mɨ.ʃi.ˈʎɐ̃w/	/ˌme.ʃi.ˈʎɐ̃w̃/	sm		mussel						mejillón							moule					Muschel					musclo					cozze											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
a pescada	pescada	a pescada	/ɐ pɨʃ.ˈka.dɐ/	/piʃ.ˈka.dɐ/	sf		hake						merluza							aiglefin					Schellfisch					pelada					pesce											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
as ostras	ostra	as ostras	/ɐz ˈoʃ.tɾɐʃ/	/ˈɔʃ.tɾɐ/	sf		oyster						ostra							huître					Auster					ostra					ostrica											Português::Curso::A1 Português::Vocabulario::Alimentos::Peixe_e_Moluscos
o óleo	óleo	o óleo	/u ˈɔ.ɫi.u/	/ˈɔ.le.u/	sm		oil						aceite (no de aceituna)							huile					Öl					oli					olio											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o manjericão	manjericão	o manjericão	/u mɐ̃.ʒɨ.ɾi.ˈkɐ̃w/	/mɐ̃.ʒe.ɾi.ˈkɐ̃w̃/	sm		basil						albahaca							basilic					Basilikum					basilic					basilico											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
o açafrão	açafrão	o açafrão	/u ɐ.sɐ.ˈfɾɐ̃w/	/ɐ.ˈsa.fɾɐ̃w̃/	sm		saffron						azafrán							safran					Safran					safrà					saffron											Português::Curso::A1 Português::Vocabulario::Alimentos::Temperos
